Has_Online_delivery,Photos_url,Price_Range,Rating_text,Rating_Color,Rating_Votes,Aggregate_rating,Restaurant_id,Restaurant_Name,Cuisines,is_delivering_now,Average_cost_for_two,Switch_to_order_menu,Has_table_booking,latitude,Address,City,Country_id,Locality_verbose,City_id,longitude,Locality,Currency
1,https://www.zomato.com/HauzKhasSocial/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,3,Very Good,5BA829,7931,4.3,308322,Hauz Khas Social,"Continental, American, Asian, North Indian",0,1600,0,1,28.5542851,"9-A & 12, Hauz Khas Village, New Delhi",New Delhi,1,"Hauz Khas Village, New Delhi",1,77.1944706,Hauz Khas Village,Rs.
0,https://www.zomato.com/ncr/qubitos-the-terrace-cafe-rajouri-garden-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,3,Excellent,3F7E00,778,4.5,18037817,Qubitos - The Terrace Cafe,"Thai, European, Mexican, North Indian, Chinese, Cafe",0,1500,0,1,28.6471325,"C-7, Vishal Enclave, Opposite Metro Pillar 417, Rajouri Garden, New Delhi",New Delhi,1,"Rajouri Garden, New Delhi",1,77.1177015,Rajouri Garden,Rs.
1,https://www.zomato.com/ncr/the-hudson-cafe-delhi-university-gtb-nagar-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,2,Very Good,5BA829,1537,4.4,312345,The Hudson Cafe,"Cafe, Italian, Continental, Chinese",0,850,0,0,28.6949468,"2524, 1st Floor, Hudson Lane, Delhi University-GTB Nagar, New Delhi",New Delhi,1,"Delhi University-GTB Nagar, New Delhi",1,77.2043172,Delhi University-GTB Nagar,Rs.
0,https://www.zomato.com/ncr/summer-house-cafe-hauz-khas-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,3,Very Good,5BA829,1823,4.1,307490,Summer House Cafe,"Italian, Continental",0,1850,0,1,28.5525204,"1st Floor, DDA Shopping Complex, Aurobindo Place, Hauz Khas, New Delhi",New Delhi,1,"Hauz Khas, New Delhi",1,77.203809,Hauz Khas,Rs.
0,https://www.zomato.com/ncr/38-barracks-connaught-place-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,3,Very Good,5BA829,840,4.4,18241537,38 Barracks,"North Indian, Italian, Asian, American",0,1600,0,1,28.6330248887,"M-38, Outer Circle, Connaught Place, New Delhi",New Delhi,1,"Connaught Place, New Delhi",1,77.2228584811,Connaught Place,Rs.
1,https://www.zomato.com/ncr/spezia-bistro-delhi-university-gtb-nagar-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,2,Excellent,3F7E00,1071,4.6,18161577,Spezia Bistro,"Cafe, Continental, Chinese, Italian",0,900,0,1,28.694839,"2525, 1st Floor, Hudson Lane, Delhi University-GTB Nagar, New Delhi",New Delhi,1,"Delhi University-GTB Nagar, New Delhi",1,77.2041413,Delhi University-GTB Nagar,Rs.
0,https://www.zomato.com/agra/taj-bano-itc-mughal-tajganj/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4,Very Good,5BA829,41,4.0,3400060,Taj Bano - ITC Mughal,Mughlai,0,2500,0,0,27.160934,"ITC Mughal, Fatehabad Road, Tajganj, Agra",Agra,1,"ITC Mughal, Tajganj, Agra",34,78.044095,"ITC Mughal, Tajganj",Rs.
0,https://www.zomato.com/ncr/manhattan-brewery-bar-exchange-golf-course-road-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4,Excellent,3F7E00,2093,4.6,303960,Manhattan Brewery & Bar Exchange,"Finger Food, American, Continental, North Indian, Italian",0,2000,0,0,28.460271,"1st Floor, Global Foyer Mall, Sector 43, Golf Course Road, Gurgaon",Gurgaon,1,"Global Foyer Mall, Golf Course Road, Gurgaon",1,77.0950273,"Global Foyer Mall, Golf Course Road",Rs.
0,https://www.zomato.com/ncr/the-wine-company-dlf-cyber-city-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4,Poor,FF7800,2412,2.4,306134,The Wine Company,"Italian, European",0,2000,0,1,28.4962285,"Cyber Hub, DLF Cyber City, Gurgaon",Gurgaon,1,"Cyber Hub, DLF Cyber City, Gurgaon",1,77.0890476,"Cyber Hub, DLF Cyber City",Rs.
0,https://www.zomato.com/ncr/farzi-cafe-connaught-place-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4,Very Good,5BA829,1942,4.4,18233593,Farzi Cafe,Modern Indian,0,2200,0,0,28.6323984,"38/39, Level 1, Block E , Inner Circle, Connaught Place, New Delhi",New Delhi,1,"Connaught Place, New Delhi",1,77.2214296,Connaught Place,Rs.
